Year,Month,Day,Failures,Downtime (min),Operating (min),MTBF (min),MTTR (min),Availability (%)
2010,February,20,1,35.9,411.4,411.4,35.9,91.27
2010,February,21,0,0.0,411.4,,,100.0
2010,February,22,1,37.7,411.4,411.4,37.7,90.84
2010,February,23,1,36.0,411.4,411.4,36.0,91.25
2010,February,24,0,0.0,411.4,,,100.0
2010,February,25,0,0.0,411.4,,,100.0
2010,February,26,2,70.9,411.4,205.7,35.5,82.77
2010,February,27,0,0.0,411.4,,,100.0
2010,February,28,0,0.5,411.4,,,99.88
2010,March,1,2,54.7,402.6,201.3,27.4,86.41
2010,March,2,0,0.0,402.6,,,100.0
2010,March,3,3,78.4,402.6,134.2,26.1,80.53
2010,March,4,2,53.1,402.6,201.3,26.6,86.81
2010,March,5,0,0.3,402.6,,,99.93
2010,March,6,1,26.2,402.6,402.6,26.2,93.49
2010,March,7,0,1.2,402.6,,,99.7
2010,March,8,2,55.5,402.6,201.3,27.8,86.21
2010,March,9,0,2.1,402.6,,,99.48
2010,March,10,1,27.1,402.6,402.6,27.1,93.27
2010,March,11,4,103.0,402.6,100.7,25.8,74.42
2010,March,12,1,24.6,402.6,402.6,24.6,93.89
2010,March,13,1,24.8,402.6,402.6,24.8,93.84
2010,March,14,0,0.0,402.6,,,100.0
2010,March,15,1,27.0,402.6,402.6,27.0,93.29
2010,March,16,2,51.8,402.6,201.3,25.9,87.13
2010,March,17,0,0.1,402.6,,,99.98
2010,March,18,0,0.3,402.6,,,99.93
2010,March,19,2,54.9,402.6,201.3,27.4,86.36
2010,March,20,0,0.0,402.6,,,100.0
2010,March,21,2,50.5,402.6,201.3,25.2,87.46
2010,March,22,0,0.5,402.6,,,99.88
2010,March,23,3,76.7,402.6,134.2,25.6,80.95
2010,March,24,3,79.4,402.6,134.2,26.5,80.28
2010,March,25,1,25.6,402.6,402.6,25.6,93.64
2010,March,26,2,52.1,402.6,201.3,26.1,87.06
2010,March,27,1,28.7,402.6,402.6,28.7,92.87
2010,March,28,0,0.0,402.6,,,100.0
2010,March,29,2,54.3,402.6,201.3,27.1,86.51
2010,March,30,2,51.9,402.6,201.3,25.9,87.11
2010,March,31,0,1.3,402.6,,,99.68
2010,April,1,2,52.9,400.0,200.0,26.4,86.78
2010,April,2,2,52.4,400.0,200.0,26.2,86.9
2010,April,3,2,54.2,400.0,200.0,27.1,86.45
2010,April,4,1,25.3,400.0,400.0,25.3,93.67
2010,April,5,0,0.6,400.0,,,99.85
2010,April,6,1,26.0,400.0,400.0,26.0,93.5
2010,April,7,1,25.8,400.0,400.0,25.8,93.55
2010,April,8,2,55.2,400.0,200.0,27.6,86.2
2010,April,9,1,26.2,400.0,400.0,26.2,93.45
2010,April,10,0,0.0,400.0,,,100.0
2010,April,11,1,28.8,400.0,400.0,28.8,92.8
2010,April,12,3,80.2,400.0,133.3,26.7,79.95
2010,April,13,1,26.4,400.0,400.0,26.4,93.4
2010,April,14,0,0.0,400.0,,,100.0
2010,April,15,3,79.7,400.0,133.3,26.6,80.08
2010,April,16,1,25.5,400.0,400.0,25.5,93.62
2010,April,17,0,0.0,400.0,,,100.0
2010,April,18,1,26.9,400.0,400.0,26.9,93.28
2010,April,19,2,53.2,400.0,200.0,26.6,86.7
2010,April,20,0,0.0,400.0,,,100.0
2010,April,21,0,0.0,400.0,,,100.0
2010,April,22,3,79.1,400.0,133.3,26.4,80.22
2010,April,23,0,1.4,400.0,,,99.65
2010,April,24,1,28.5,400.0,400.0,28.5,92.88
2010,April,25,1,27.9,400.0,400.0,27.9,93.03
2010,April,26,1,24.3,400.0,400.0,24.3,93.92
2010,April,27,1,26.0,400.0,400.0,26.0,93.5
2010,April,28,1,26.3,400.0,400.0,26.3,93.42
2010,April,29,0,0.0,400.0,,,100.0
2010,April,30,2,54.9,400.0,200.0,27.4,86.28
2010,May,1,0,0.1,402.6,,,99.98
2010,May,2,0,2.1,402.6,,,99.48
2010,May,3,2,57.2,402.6,201.3,28.6,85.79
2010,May,4,1,28.9,402.6,402.6,28.9,92.82
2010,May,5,1,31.2,402.6,402.6,31.2,92.25
2010,May,6,1,28.1,402.6,402.6,28.1,93.02
2010,May,7,1,29.3,402.6,402.6,29.3,92.72
2010,May,8,1,26.7,402.6,402.6,26.7,93.37
2010,May,9,1,29.5,402.6,402.6,29.5,92.67
2010,May,10,0,0.3,402.6,,,99.93
2010,May,11,0,2.9,402.6,,,99.28
2010,May,12,2,56.9,402.6,201.3,28.4,85.87
2010,May,13,0,0.0,402.6,,,100.0
2010,May,14,1,30.6,402.6,402.6,30.6,92.4
2010,May,15,1,29.3,402.6,402.6,29.3,92.72
2010,May,16,0,0.0,402.6,,,100.0
2010,May,17,1,27.3,402.6,402.6,27.3,93.22
2010,May,18,1,27.7,402.6,402.6,27.7,93.12
2010,May,19,1,28.3,402.6,402.6,28.3,92.97
2010,May,20,1,29.0,402.6,402.6,29.0,92.8
2010,May,21,2,56.3,402.6,201.3,28.1,86.02
2010,May,22,0,0.4,402.6,,,99.9
2010,May,23,0,0.0,402.6,,,100.0
2010,May,24,1,27.3,402.6,402.6,27.3,93.22
2010,May,25,3,83.5,402.6,134.2,27.8,79.26
2010,May,26,0,0.2,402.6,,,99.95
2010,May,27,1,27.8,402.6,402.6,27.8,93.09
2010,May,28,3,84.0,402.6,134.2,28.0,79.14
2010,May,29,2,57.7,402.6,201.3,28.9,85.67
2010,May,30,0,0.0,402.6,,,100.0
2010,May,31,3,85.3,402.6,134.2,28.4,78.81
2010,June,1,2,46.9,400.0,200.0,23.4,88.28
2010,June,2,2,47.9,400.0,200.0,23.9,88.03
2010,June,3,0,1.9,400.0,,,99.53
2010,June,4,4,96.8,400.0,100.0,24.2,75.8
2010,June,5,0,0.0,400.0,,,100.0
2010,June,6,1,28.1,400.0,400.0,28.1,92.97
2010,June,7,2,49.2,400.0,200.0,24.6,87.7
2010,June,8,1,24.7,400.0,400.0,24.7,93.83
2010,June,9,2,48.2,400.0,200.0,24.1,87.95
2010,June,10,1,22.8,400.0,400.0,22.8,94.3
2010,June,11,1,25.8,400.0,400.0,25.8,93.55
2010,June,12,0,0.0,400.0,,,100.0
2010,June,13,1,26.1,400.0,400.0,26.1,93.47
2010,June,14,1,24.6,400.0,400.0,24.6,93.85
2010,June,15,1,24.9,400.0,400.0,24.9,93.78
2010,June,16,1,22.8,400.0,400.0,22.8,94.3
2010,June,17,0,1.9,400.0,,,99.53
2010,June,18,3,70.2,400.0,133.3,23.4,82.45
2010,June,19,3,70.2,400.0,133.3,23.4,82.45
2010,June,20,0,1.0,400.0,,,99.75
2010,June,21,0,0.0,400.0,,,100.0
2010,June,22,1,23.1,400.0,400.0,23.1,94.22
2010,June,23,0,0.7,400.0,,,99.83
2010,June,24,2,49.1,400.0,200.0,24.6,87.72
2010,June,25,1,21.9,400.0,400.0,21.9,94.53
2010,June,26,2,49.5,400.0,200.0,24.8,87.62
2010,June,27,0,0.0,400.0,,,100.0
2010,June,28,0,0.0,400.0,,,100.0
2010,June,29,0,0.8,400.0,,,99.8
2010,June,30,1,23.9,400.0,400.0,23.9,94.03
2010,July,1,3,91.6,402.6,134.2,30.5,77.25
2010,July,2,0,0.1,402.6,,,99.98
2010,July,3,0,0.6,402.6,,,99.85
2010,July,4,3,92.4,402.6,134.2,30.8,77.05
2010,July,5,1,27.2,402.6,402.6,27.2,93.24
2010,July,6,0,0.0,402.6,,,100.0
2010,July,7,0,2.9,402.6,,,99.28
2010,July,8,1,30.4,402.6,402.6,30.4,92.45
2010,July,9,0,0.7,402.6,,,99.83
2010,July,10,3,91.6,402.6,134.2,30.5,77.25
2010,July,11,0,0.0,402.6,,,100.0
2010,July,12,0,0.0,402.6,,,100.0
2010,July,13,2,59.4,402.6,201.3,29.7,85.25
2010,July,14,0,0.0,402.6,,,100.0
2010,July,15,1,29.0,402.6,402.6,29.0,92.8
2010,July,16,0,0.0,402.6,,,100.0
2010,July,17,0,0.0,402.6,,,100.0
2010,July,18,0,3.0,402.6,,,99.25
2010,July,19,0,0.0,402.6,,,100.0
2010,July,20,2,63.6,402.6,201.3,31.8,84.2
2010,July,21,1,32.0,402.6,402.6,32.0,92.05
2010,July,22,3,92.6,402.6,134.2,30.9,77.0
2010,July,23,0,0.0,402.6,,,100.0
2010,July,24,0,0.0,402.6,,,100.0
2010,July,25,2,60.7,402.6,201.3,30.4,84.92
2010,July,26,0,0.0,402.6,,,100.0
2010,July,27,0,0.8,402.6,,,99.8
2010,July,28,0,0.1,402.6,,,99.98
2010,July,29,5,156.4,402.6,80.5,31.3,61.15
2010,July,30,1,30.2,402.6,402.6,30.2,92.5
2010,July,31,4,123.8,402.6,100.7,30.9,69.25
2010,August,1,0,1.2,402.6,,,99.7
2010,August,2,0,1.1,402.6,,,99.73
2010,August,3,2,115.5,402.6,201.3,57.8,71.31
2010,August,4,1,58.5,402.6,402.6,58.5,85.47
2010,August,5,1,59.7,402.6,402.6,59.7,85.17
2010,August,6,0,2.2,402.6,,,99.45
2010,August,7,1,59.8,402.6,402.6,59.8,85.15
2010,August,8,1,58.1,402.6,402.6,58.1,85.57
2010,August,9,1,56.5,402.6,402.6,56.5,85.97
2010,August,10,0,0.0,402.6,,,100.0
2010,August,11,2,120.0,402.6,201.3,60.0,70.19
2010,August,12,0,0.3,402.6,,,99.93
2010,August,13,0,2.0,402.6,,,99.5
2010,August,14,1,56.4,402.6,402.6,56.4,85.99
2010,August,15,1,58.5,402.6,402.6,58.5,85.47
2010,August,16,1,59.4,402.6,402.6,59.4,85.25
2010,August,17,0,0.0,402.6,,,100.0
2010,August,18,2,115.5,402.6,201.3,57.8,71.31
2010,August,19,2,118.7,402.6,201.3,59.4,70.52
2010,August,20,0,0.0,402.6,,,100.0
2010,August,21,0,0.2,402.6,,,99.95
2010,August,22,1,60.0,402.6,402.6,60.0,85.1
2010,August,23,0,0.2,402.6,,,99.95
2010,August,24,0,0.0,402.6,,,100.0
2010,August,25,1,57.9,402.6,402.6,57.9,85.62
2010,August,26,0,0.4,402.6,,,99.9
2010,August,27,0,0.0,402.6,,,100.0
2010,August,28,0,0.1,402.6,,,99.98
2010,August,29,1,57.8,402.6,402.6,57.8,85.64
2010,August,30,0,0.0,402.6,,,100.0
2010,August,31,0,0.0,402.6,,,100.0
2010,September,1,4,90.7,400.0,100.0,22.7,77.33
2010,September,2,0,0.0,400.0,,,100.0
2010,September,3,0,0.0,400.0,,,100.0
2010,September,4,0,0.0,400.0,,,100.0
2010,September,5,2,45.9,400.0,200.0,22.9,88.53
2010,September,6,1,19.3,400.0,400.0,19.3,95.17
2010,September,7,0,0.0,400.0,,,100.0
2010,September,8,0,0.0,400.0,,,100.0
2010,September,9,0,1.6,400.0,,,99.6
2010,September,10,3,68.2,400.0,133.3,22.7,82.95
2010,September,11,1,21.8,400.0,400.0,21.8,94.55
2010,September,12,2,44.9,400.0,200.0,22.4,88.78
2010,September,13,0,0.0,400.0,,,100.0
2010,September,14,1,20.1,400.0,400.0,20.1,94.97
2010,September,15,2,46.5,400.0,200.0,23.2,88.38
2010,September,16,3,64.9,400.0,133.3,21.6,83.78
2010,September,17,0,0.0,400.0,,,100.0
2010,September,18,2,44.5,400.0,200.0,22.2,88.88
2010,September,19,1,22.5,400.0,400.0,22.5,94.38
2010,September,20,3,68.5,400.0,133.3,22.8,82.88
2010,September,21,0,0.0,400.0,,,100.0
2010,September,22,2,47.2,400.0,200.0,23.6,88.2
2010,September,23,2,43.0,400.0,200.0,21.5,89.25
2010,September,24,4,87.8,400.0,100.0,21.9,78.05
2010,September,25,2,45.4,400.0,200.0,22.7,88.65
2010,September,26,2,45.6,400.0,200.0,22.8,88.6
2010,September,27,2,47.1,400.0,200.0,23.6,88.22
2010,September,28,1,22.1,400.0,400.0,22.1,94.47
2010,September,29,1,24.0,400.0,400.0,24.0,94.0
2010,September,30,3,67.4,400.0,133.3,22.5,83.15
2010,October,1,0,1.4,402.6,,,99.65
2010,October,2,1,29.2,402.6,402.6,29.2,92.75
2010,October,3,1,29.5,402.6,402.6,29.5,92.67
2010,October,4,2,62.7,402.6,201.3,31.4,84.43
2010,October,5,3,89.3,402.6,134.2,29.8,77.82
2010,October,6,0,1.9,402.6,,,99.53
2010,October,7,0,0.0,402.6,,,100.0
2010,October,8,1,30.7,402.6,402.6,30.7,92.37
2010,October,9,2,58.4,402.6,201.3,29.2,85.49
2010,October,10,0,1.4,402.6,,,99.65
2010,October,11,1,28.7,402.6,402.6,28.7,92.87
2010,October,12,1,30.5,402.6,402.6,30.5,92.42
2010,October,13,0,1.9,402.6,,,99.53
2010,October,14,1,30.0,402.6,402.6,30.0,92.55
2010,October,15,0,3.2,402.6,,,99.21
2010,October,16,0,0.0,402.6,,,100.0
2010,October,17,2,58.7,402.6,201.3,29.4,85.42
2010,October,18,3,88.2,402.6,134.2,29.4,78.09
2010,October,19,0,1.1,402.6,,,99.73
2010,October,20,1,29.8,402.6,402.6,29.8,92.6
2010,October,21,3,88.2,402.6,134.2,29.4,78.09
2010,October,22,2,62.8,402.6,201.3,31.4,84.4
2010,October,23,0,0.5,402.6,,,99.88
2010,October,24,0,0.8,402.6,,,99.8
2010,October,25,0,2.7,402.6,,,99.33
2010,October,26,0,0.2,402.6,,,99.95
2010,October,27,2,59.5,402.6,201.3,29.8,85.22
2010,October,28,3,89.9,402.6,134.2,30.0,77.67
2010,October,29,1,28.7,402.6,402.6,28.7,92.87
2010,October,30,2,59.2,402.6,201.3,29.6,85.3
2010,October,31,1,29.9,402.6,402.6,29.9,92.57
2010,November,1,0,0.0,400.0,,,100.0
2010,November,2,0,0.0,400.0,,,100.0
2010,November,3,0,0.2,400.0,,,99.95
2010,November,4,0,0.0,400.0,,,100.0
2010,November,5,2,59.4,400.0,200.0,29.7,85.15
2010,November,6,2,57.2,400.0,200.0,28.6,85.7
2010,November,7,1,30.4,400.0,400.0,30.4,92.4
2010,November,8,1,26.3,400.0,400.0,26.3,93.42
2010,November,9,2,60.0,400.0,200.0,30.0,85.0
2010,November,10,0,0.0,400.0,,,100.0
2010,November,11,0,0.0,400.0,,,100.0
2010,November,12,1,29.3,400.0,400.0,29.3,92.67
2010,November,13,0,0.0,400.0,,,100.0
2010,November,14,2,58.1,400.0,200.0,29.1,85.47
2010,November,15,2,58.2,400.0,200.0,29.1,85.45
2010,November,16,0,1.2,400.0,,,99.7
2010,November,17,1,29.7,400.0,400.0,29.7,92.58
2010,November,18,0,0.6,400.0,,,99.85
2010,November,19,1,29.3,400.0,400.0,29.3,92.67
2010,November,20,4,120.0,400.0,100.0,30.0,70.0
2010,November,21,0,0.2,400.0,,,99.95
2010,November,22,3,89.0,400.0,133.3,29.7,77.75
2010,November,23,1,30.5,400.0,400.0,30.5,92.38
2010,November,24,0,0.0,400.0,,,100.0
2010,November,25,0,0.4,400.0,,,99.9
2010,November,26,0,1.1,400.0,,,99.72
2010,November,27,1,29.3,400.0,400.0,29.3,92.67
2010,November,28,0,0.3,400.0,,,99.92
2010,November,29,1,29.2,400.0,400.0,29.2,92.7
2010,November,30,2,58.9,400.0,200.0,29.4,85.28
2010,December,1,1,30.4,402.6,402.6,30.4,92.45
2010,December,2,1,28.4,402.6,402.6,28.4,92.95
2010,December,3,1,30.1,402.6,402.6,30.1,92.52
2010,December,4,0,0.0,402.6,,,100.0
2010,December,5,0,0.0,402.6,,,100.0
2010,December,6,0,0.0,402.6,,,100.0
2010,December,7,0,0.0,402.6,,,100.0
2010,December,8,1,31.4,402.6,402.6,31.4,92.2
2010,December,9,2,59.5,402.6,201.3,29.8,85.22
2010,December,10,2,59.7,402.6,201.3,29.9,85.17
2010,December,11,0,1.8,402.6,,,99.55
2010,December,12,1,28.8,402.6,402.6,28.8,92.85
2010,December,13,1,30.5,402.6,402.6,30.5,92.42
2010,December,14,0,0.0,402.6,,,100.0
2010,December,15,3,93.7,402.6,134.2,31.2,76.73
2010,December,16,3,87.3,402.6,134.2,29.1,78.32
2010,December,17,0,0.0,402.6,,,100.0
2010,December,18,0,0.5,402.6,,,99.88
2010,December,19,2,61.1,402.6,201.3,30.6,84.82
2010,December,20,0,2.0,402.6,,,99.5
2010,December,21,1,31.9,402.6,402.6,31.9,92.08
2010,December,22,1,31.8,402.6,402.6,31.8,92.1
2010,December,23,2,58.7,402.6,201.3,29.4,85.42
2010,December,24,2,62.6,402.6,201.3,31.3,84.45
2010,December,25,2,59.4,402.6,201.3,29.7,85.25
2010,December,26,0,0.0,402.6,,,100.0
2010,December,27,0,1.0,402.6,,,99.75
2010,December,28,3,91.3,402.6,134.2,30.4,77.32
2010,December,29,2,62.5,402.6,201.3,31.2,84.48
2010,December,30,1,29.3,402.6,402.6,29.3,92.72
2010,December,31,0,2.3,402.6,,,99.43
2011,January,1,1,26.6,402.6,402.6,26.6,93.39
2011,January,2,2,53.2,402.6,201.3,26.6,86.79
2011,January,3,1,27.0,402.6,402.6,27.0,93.29
2011,January,4,1,25.2,402.6,402.6,25.2,93.74
2011,January,5,2,51.0,402.6,201.3,25.5,87.33
2011,January,6,0,0.0,402.6,,,100.0
2011,January,7,2,54.9,402.6,201.3,27.4,86.36
2011,January,8,1,28.5,402.6,402.6,28.5,92.92
2011,January,9,0,0.0,402.6,,,100.0
2011,January,10,2,51.0,402.6,201.3,25.5,87.33
2011,January,11,2,49.9,402.6,201.3,24.9,87.61
2011,January,12,1,28.1,402.6,402.6,28.1,93.02
2011,January,13,0,1.1,402.6,,,99.73
2011,January,14,1,25.4,402.6,402.6,25.4,93.69
2011,January,15,1,28.5,402.6,402.6,28.5,92.92
2011,January,16,1,25.2,402.6,402.6,25.2,93.74
2011,January,17,1,24.7,402.6,402.6,24.7,93.86
2011,January,18,1,28.3,402.6,402.6,28.3,92.97
2011,January,19,2,52.7,402.6,201.3,26.4,86.91
2011,January,20,2,55.8,402.6,201.3,27.9,86.14
2011,January,21,0,0.0,402.6,,,100.0
2011,January,22,0,0.9,402.6,,,99.78
2011,January,23,0,0.0,402.6,,,100.0
2011,January,24,1,26.7,402.6,402.6,26.7,93.37
2011,January,25,3,76.8,402.6,134.2,25.6,80.92
2011,January,26,0,2.4,402.6,,,99.4
2011,January,27,0,0.8,402.6,,,99.8
2011,January,28,1,27.2,402.6,402.6,27.2,93.24
2011,January,29,0,0.0,402.6,,,100.0
2011,January,30,2,52.3,402.6,201.3,26.1,87.01
2011,January,31,2,51.6,402.6,201.3,25.8,87.18
2011,February,1,0,0.0,411.4,,,100.0
2011,February,2,1,34.5,411.4,411.4,34.5,91.61
2011,February,3,1,34.9,411.4,411.4,34.9,91.52
2011,February,4,0,1.4,411.4,,,99.66
2011,February,5,1,32.4,411.4,411.4,32.4,92.12
2011,February,6,0,1.0,411.4,,,99.76
2011,February,7,1,33.8,411.4,411.4,33.8,91.78
2011,February,8,1,30.5,411.4,411.4,30.5,92.59
2011,February,9,4,133.5,411.4,102.8,33.4,67.55
2011,February,10,1,34.7,411.4,411.4,34.7,91.57
2011,February,11,0,0.0,411.4,,,100.0
2011,February,12,0,0.0,411.4,,,100.0
2011,February,13,1,34.1,411.4,411.4,34.1,91.71
2011,February,14,2,69.1,411.4,205.7,34.5,83.2
2011,February,15,0,0.0,411.4,,,100.0
2011,February,16,0,2.8,411.4,,,99.32
2011,February,17,1,33.7,411.4,411.4,33.7,91.81
2011,February,18,2,66.7,411.4,205.7,33.4,83.79
2011,February,19,0,0.0,411.4,,,100.0
2011,February,20,1,35.7,411.4,411.4,35.7,91.32
2011,February,21,2,64.4,411.4,205.7,32.2,84.35
2011,February,22,2,72.4,411.4,205.7,36.2,82.4
2011,February,23,3,100.6,411.4,137.1,33.5,75.55
2011,February,24,3,105.8,411.4,137.1,35.3,74.28
2011,February,25,1,33.2,411.4,411.4,33.2,91.93
2011,February,26,0,0.0,411.4,,,100.0
2011,February,27,1,30.3,411.4,411.4,30.3,92.63
2011,February,28,0,1.6,411.4,,,99.61
2011,March,1,0,0.0,402.6,,,100.0
2011,March,2,1,20.5,402.6,402.6,20.5,94.91
2011,March,3,1,19.0,402.6,402.6,19.0,95.28
2011,March,4,2,38.5,402.6,201.3,19.2,90.44
2011,March,5,1,17.7,402.6,402.6,17.7,95.6
2011,March,6,1,18.3,402.6,402.6,18.3,95.45
2011,March,7,2,39.7,402.6,201.3,19.9,90.14
2011,March,8,3,56.8,402.6,134.2,18.9,85.89
2011,March,9,1,18.8,402.6,402.6,18.8,95.33
2011,March,10,1,19.1,402.6,402.6,19.1,95.26
2011,March,11,2,37.4,402.6,201.3,18.7,90.71
2011,March,12,1,19.3,402.6,402.6,19.3,95.21
2011,March,13,2,40.4,402.6,201.3,20.2,89.97
2011,March,14,0,0.8,402.6,,,99.8
2011,March,15,3,58.1,402.6,134.2,19.4,85.57
2011,March,16,1,19.7,402.6,402.6,19.7,95.11
2011,March,17,1,20.1,402.6,402.6,20.1,95.01
2011,March,18,1,20.0,402.6,402.6,20.0,95.03
2011,March,19,1,19.2,402.6,402.6,19.2,95.23
2011,March,20,2,38.5,402.6,201.3,19.2,90.44
2011,March,21,1,19.8,402.6,402.6,19.8,95.08
2011,March,22,1,19.3,402.6,402.6,19.3,95.21
2011,March,23,1,19.1,402.6,402.6,19.1,95.26
2011,March,24,0,0.0,402.6,,,100.0
2011,March,25,1,20.1,402.6,402.6,20.1,95.01
2011,March,26,2,37.4,402.6,201.3,18.7,90.71
2011,March,27,2,39.3,402.6,201.3,19.6,90.24
2011,March,28,1,17.9,402.6,402.6,17.9,95.55
2011,March,29,2,38.3,402.6,201.3,19.1,90.49
2011,March,30,1,16.6,402.6,402.6,16.6,95.88
2011,March,31,1,18.3,402.6,402.6,18.3,95.45
2011,April,1,2,40.5,400.0,200.0,20.2,89.88
2011,April,2,0,0.0,400.0,,,100.0
2011,April,3,2,39.8,400.0,200.0,19.9,90.05
2011,April,4,2,37.3,400.0,200.0,18.6,90.67
2011,April,5,2,38.0,400.0,200.0,19.0,90.5
2011,April,6,1,19.2,400.0,400.0,19.2,95.2
2011,April,7,0,0.0,400.0,,,100.0
2011,April,8,2,38.3,400.0,200.0,19.1,90.42
2011,April,9,1,19.7,400.0,400.0,19.7,95.08
2011,April,10,2,41.5,400.0,200.0,20.8,89.62
2011,April,11,0,0.0,400.0,,,100.0
2011,April,12,2,37.4,400.0,200.0,18.7,90.65
2011,April,13,1,20.8,400.0,400.0,20.8,94.8
2011,April,14,2,39.2,400.0,200.0,19.6,90.2
2011,April,15,0,0.0,400.0,,,100.0
2011,April,16,1,18.9,400.0,400.0,18.9,95.28
2011,April,17,0,1.3,400.0,,,99.67
2011,April,18,1,20.4,400.0,400.0,20.4,94.9
2011,April,19,1,18.9,400.0,400.0,18.9,95.28
2011,April,20,0,2.7,400.0,,,99.33
2011,April,21,0,0.0,400.0,,,100.0
2011,April,22,1,21.5,400.0,400.0,21.5,94.62
2011,April,23,2,40.1,400.0,200.0,20.1,89.97
2011,April,24,2,40.6,400.0,200.0,20.3,89.85
2011,April,25,0,0.0,400.0,,,100.0
2011,April,26,2,39.0,400.0,200.0,19.5,90.25
2011,April,27,2,40.4,400.0,200.0,20.2,89.9
2011,April,28,1,21.4,400.0,400.0,21.4,94.65
2011,April,29,0,0.3,400.0,,,99.92
2011,April,30,2,40.9,400.0,200.0,20.4,89.78
2011,May,1,0,0.7,402.6,,,99.83
2011,May,2,2,84.8,402.6,201.3,42.4,78.94
2011,May,3,1,40.3,402.6,402.6,40.3,89.99
2011,May,4,0,0.0,402.6,,,100.0
2011,May,5,0,0.0,402.6,,,100.0
2011,May,6,1,38.7,402.6,402.6,38.7,90.39
2011,May,7,1,40.0,402.6,402.6,40.0,90.06
2011,May,8,2,80.1,402.6,201.3,40.0,80.1
2011,May,9,2,82.3,402.6,201.3,41.1,79.56
2011,May,10,0,1.9,402.6,,,99.53
2011,May,11,2,83.7,402.6,201.3,41.9,79.21
2011,May,12,1,41.6,402.6,402.6,41.6,89.67
2011,May,13,0,1.1,402.6,,,99.73
2011,May,14,1,40.3,402.6,402.6,40.3,89.99
2011,May,15,0,0.0,402.6,,,100.0
2011,May,16,1,41.4,402.6,402.6,41.4,89.72
2011,May,17,2,80.5,402.6,201.3,40.2,80.0
2011,May,18,0,1.9,402.6,,,99.53
2011,May,19,0,0.1,402.6,,,99.98
2011,May,20,1,39.9,402.6,402.6,39.9,90.09
2011,May,21,1,42.9,402.6,402.6,42.9,89.34
2011,May,22,1,40.6,402.6,402.6,40.6,89.92
2011,May,23,1,43.0,402.6,402.6,43.0,89.32
2011,May,24,0,0.0,402.6,,,100.0
2011,May,25,2,82.3,402.6,201.3,41.1,79.56
2011,May,26,0,0.4,402.6,,,99.9
2011,May,27,0,2.0,402.6,,,99.5
2011,May,28,0,1.0,402.6,,,99.75
2011,May,29,0,0.4,402.6,,,99.9
2011,May,30,0,0.0,402.6,,,100.0
2011,May,31,0,0.3,402.6,,,99.93
2011,June,1,1,20.6,400.0,400.0,20.6,94.85
2011,June,2,0,1.5,400.0,,,99.62
